Sample_ID	HTAN_ID
27522_5_scRNA	HTA12_300_1
27522_5_scRNA	HTA12_300_2
27522_1_scRNA	HTA12_300_3
27522_2_scRNA	HTA12_300_4
27522_3_scRNA	HTA12_300_5
27522_4_scRNA	HTA12_300_6
37692_2_scRNA	HTA12_301_1
47491_1_scRNA	HTA12_302_1
47491_2_scRNA	HTA12_302_2
56203_1_scRNA	HTA12_304_1
56203_2_scRNA	HTA12_304_2
57075_3_scRNA	HTA12_305_1
58408_1_scRNA	HTA12_306_1
58408_2_scRNA	HTA12_306_2
59114_1_scRNA	HTA12_307_1
59114_4_scRNA	HTA12_307_2
60359_1_scRNA	HTA12_308_1
60359_2_scRNA	HTA12_308_2
77570_scRNA	HTA12_309_1
81012_1_scRNA	HTA12_310_1
81012_2_scRNA	HTA12_310_2
83942_scRNA	HTA12_311_1
27522_6_scRNA	HTA12_300_7
MMY40511_scRNA	HTA12_314_1
MMY47218_scRNA	HTA12_315_1
MMY67868_scRNA	HTA12_316_1
MMY74196_scRNA	HTA12_317_1
MMY83942_scRNA	HTA12_311_2
MMY98423_scRNA	HTA12_318_1
BM6_scRNA	HTA12_EXT313_1
25183_skin_10xWGS	HTA12_299_1
27522_skin_10xWGS	HTA12_300_8
37692_skin_10xWGS	HTA12_301_2
47499_skin_10xWGS	HTA12_303_1
56203_skin_10xWGS	HTA12_304_3
57075_skin_10xWGS	HTA12_305_2
58408_skin_10xWGS	HTA12_306_3
59114_skin_10xWGS	HTA12_307_3
60359_skin_10xWGS	HTA12_308_3
77570_skin_10xWGS	HTA12_309_2
81012_skin_10xWGS	HTA12_310_3
83942_skin_10xWGS	HTA12_311_3
25183_1_10xWGS	HTA12_299_2
27522_1_10xWGS	HTA12_300_9
27522_2_10xWGS	HTA12_300_10
27522_3_10xWGS	HTA12_300_11
37692_1_10xWGS	HTA12_301_3
37692_2_10xWGS	HTA12_301_4
47491_1_10xWGS	HTA12_302_3
47499_1_10xWGS	HTA12_303_2
56203_1_10xWGS	HTA12_304_4
56203_2_10xWGS	HTA12_304_5
57075_3_10xWGS	HTA12_305_3
58408_1_10xWGS	HTA12_306_4
58408_2_10xWGS	HTA12_306_5
59114_1_10xWGS	HTA12_307_4
59114_2_10xWGS	HTA12_307_5
59114_3_10xWGS	HTA12_307_6
59114_4_10xWGS	HTA12_307_7
60359_1_10xWGS	HTA12_308_4
60359_2_10xWGS	HTA12_308_5
77570_1_10xWGS	HTA12_309_3
81012_1_10xWGS	HTA12_310_4
83942_1_10xWGS	HTA12_311_4
98433_1_10xWGS	HTA12_312_1
27522_1_Bulk RNA	HTA12_300_12
25183_1_Bulk RNA	HTA12_299_3
27522_2_Bulk RNA	HTA12_300_13
27522_4_Bulk RNA	HTA12_300_14
47499_1_Bulk RNA	HTA12_303_3
56203_2_Bulk RNA	HTA12_304_6
59114_1_Bulk RNA	HTA12_307_8
59114_2_Bulk RNA	HTA12_307_9
59114_3_Bulk RNA	HTA12_307_10
59114_4_Bulk RNA	HTA12_307_11
60359_1_Bulk RNA	HTA12_308_6
60359_2_Bulk RNA	HTA12_308_7
77570_1_Bulk RNA	HTA12_309_4
83942_1_Bulk RNA	HTA12_311_5
98433_1_Bulk RNA	HTA12_312_2
27522_1_WES	HTA12_300_15
27522_3_WES	HTA12_300_16
27522_4_WES	HTA12_300_17
37692_2_WES	HTA12_301_5
47491_1_WES	HTA12_302_4
47491_2_WES	HTA12_302_5
56203_2_WES	HTA12_304_7
57075_3_WES	HTA12_305_4
58408_1_WES	HTA12_306_6
58408_2_WES	HTA12_306_7
59114_4_WES	HTA12_307_12
60359_1_WES	HTA12_308_8
81012_1_WES	HTA12_310_5
27522_4_WGS	HTA12_300_18
37692_2_WGS	HTA12_301_6
47491_1_WGS	HTA12_302_6
47491_2_WGS	HTA12_302_7
56203_2_WGS	HTA12_304_8
57075_3_WGS	HTA12_305_5
58408_1_WGS	HTA12_306_8
58408_2_WGS	HTA12_306_9
59114_4_WGS	HTA12_307_13
60359_1_WGS	HTA12_308_9
81012_1_WGS	HTA12_310_6
